Barangay,TOTAL,YEAR,Month,Value
Anonas,43,2022,JAN,2
Bactad East,14,2022,JAN,1
Bayaoas,22,2022,JAN,3
Bolaoen,1,2022,JAN,1
Cabaruan,1,2022,JAN,0
Cabuloan,8,2022,JAN,0
Camanang,11,2022,JAN,0
Camantiles,24,2022,JAN,5
Casantaan,2,2022,JAN,0
Catablan,20,2022,JAN,0
Cayambanan,30,2022,JAN,1
Consolacion,1,2022,JAN,0
Dilan-Paurido,9,2022,JAN,1
Labit Proper,10,2022,JAN,0
Labit West,4,2022,JAN,0
Mabanogbog,3,2022,JAN,0
Macalong,1,2022,JAN,0
Nancalobasaan,18,2022,JAN,1
Nancamaliran East,34,2022,JAN,3
Nancamaliran West,13,2022,JAN,1
Nancayasan,126,2022,JAN,6
Oltama,4,2022,JAN,0
Palina East,14,2022,JAN,1
Palina West,4,2022,JAN,1
P.T. Orata,12,2022,JAN,1
Pinmaludpod,49,2022,JAN,2
Poblacion,91,2022,JAN,4
San Jose,24,2022,JAN,4
San Vicente,85,2022,JAN,10
Sta. Lucia,9,2022,JAN,0
Sto. Domingo,5,2022,JAN,0
Sugcong,0,2022,JAN,0
Tipuso,1,2022,JAN,0
Tulong,8,2022,JAN,1
BYPASS,76,2022,JAN,7
TOTAL,777,2022,JAN,56
Anonas,41,2023,JAN,4
Bactad East,17,2023,JAN,0
Bayaoas,24,2023,JAN,2
Bolaoen,1,2023,JAN,0
Cabaruan,1,2023,JAN,0
Cabuloan,22,2023,JAN,2
Camanang,11,2023,JAN,1
Camantiles,29,2023,JAN,4
Casantaan,2,2023,JAN,0
Catablan,46,2023,JAN,6
Cayambanan,44,2023,JAN,2
Consolacion,2,2023,JAN,1
Dilan-Paurido,30,2023,JAN,3
Labit Proper,11,2023,JAN,3
Labit West,7,2023,JAN,1
Mabanogbog,2,2023,JAN,0
Macalong,2,2023,JAN,0
Nancalobasaan,16,2023,JAN,2
Nancamaliran East,42,2023,JAN,4
Nancamaliran West,22,2023,JAN,3
Nancayasan,127,2023,JAN,7
Oltama,2,2023,JAN,0
Palina East,10,2023,JAN,1
Palina West,6,2023,JAN,0
P.T. Orata,12,2023,JAN,0
Pinmaludpod,57,2023,JAN,4
Poblacion,108,2023,JAN,12
San Jose,22,2023,JAN,2
San Vicente,91,2023,JAN,3
Sta. Lucia,16,2023,JAN,3
Sto. Domingo,19,2023,JAN,2
Sugcong,3,2023,JAN,0
Tipuso,1,2023,JAN,0
Tulong,10,2023,JAN,0
BYPASS,145,2023,JAN,12
TOTAL,1001,2023,JAN,84
ANONAS,24,2024,JAN,3
BACTAD EAST,9,2024,JAN,0
BAYAOAS,26,2024,JAN,5
BOLAOEN,4,2024,JAN,1
CABARUAN,13,2024,JAN,1
CABULOAN,12,2024,JAN,0
